SIGNAL "Character:Trigger" (#00FFFF, 0.50, 1):
-18.60, -22.72, -138.94: 737.13, 2
-17.24, -15.12, -143.31: 741.92, 5
-16.93, -14.40, -144.08: 742.07, 5
-11.49, -15.12, -151.63: 744.18, 14
-10.76, -14.36, -151.98: 744.32, 11
-9.91, -13.81, -152.30: 744.46, 4
-2.56, -15.12, -155.66: 747.47, 3
-1.73, -14.41, -155.59: 747.62, 3
-0.83, -13.81, -155.46: 747.77, 2
7.87, -15.14, -154.64: 750.00, 3
8.78, -14.43, -154.16: 750.14, 5
9.58, -13.99, -153.72: 750.29, 1
13.08, -15.12, -151.87: 763.87, 7
12.70, -14.21, -152.10: 764.03, 11
12.05, -13.43, -152.51: 764.28, 15
8.13, -14.22, -154.96: 765.51, 6
3.96, -15.12, -155.81: 767.55, 5
3.06, -14.38, -155.88: 767.68, 6
2.15, -13.83, -155.94: 767.83, 3
-6.46, -15.14, -154.94: 769.54, 5
-7.15, -14.44, -154.73: 769.66, 7
-8.02, -13.87, -154.37: 769.84, 1
-16.74, -10.43, -128.48: 775.89, 6
-6.92, -12.10, -99.48: 780.66, 6
-4.25, -3.72, -74.63: 785.19, 3
-2.11, -14.39, -73.15: 786.79, 10
-2.09, -15.36, -73.74: 787.21, 3
-2.62, -15.24, -74.96: 787.58, 9
-2.86, -16.04, -75.77: 787.95, 2
-3.46, -16.07, -77.05: 788.32, 8
-3.79, -16.72, -77.86: 788.64, 2
-4.66, -16.73, -79.67: 789.11, 8
-5.06, -17.34, -80.56: 789.43, 2
-5.42, -18.65, -81.36: 789.90, 10
-5.73, -19.51, -82.02: 790.29, 5
-5.85, -20.54, -82.29: 790.48, 1
-5.06, -10.68, -81.53: 796.56, 5
-21.16, 3.78, -61.55: 801.64, 5
17.92, -12.42, -75.30: 830.70, 10

SIGNAL "Character:PickUp" (#0000FF, 0.50, 1):
180.76, 10.96, -91.51: 241.64, 1
202.37, 11.14, -102.48: 263.22, 1
200.83, 6.76, -103.00: 324.82, 1
177.91, 11.04, -77.63: 450.30, 1
146.16, 11.13, -94.63: 520.04, 1
165.63, -0.28, -69.05: 553.66, 1
163.59, -6.26, -48.55: 564.94, 1
112.30, 1.98, -79.53: 627.96, 1

SIGNAL "Character:Crouch" (#FF7A00, 0.50, 1):
191.47, 1.96, -111.35: 331.15, 1
187.89, 1.96, -92.98: 341.72, 1
